match_key,market_key,family,selection,point,team_side,best_price,consensus_fair_odds,books,sources,snapshots_count,dispersion_pct,steam_score
soccer|boca juniors|newells|2026-06-10,totals|over|2.00|,totals,Over,2.0,,1.83,1.7898,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,2.498,
soccer|boca juniors|newells|2026-06-10,totals|under|2.00|,totals,Under,2.0,,2.11,2.0801,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.387,
soccer|boca juniors|newells|2026-06-10,totals|over|2.50|,totals,Over,2.5,,2.56,2.2874,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,10.938,
soccer|boca juniors|newells|2026-06-10,totals|under|2.50|,totals,Under,2.5,,1.66,1.598,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,3.453,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-1.50|home,spreads,Newells,-1.5,home,9.45,8.0644,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,3.704,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|1.50|away,spreads,Boca Juniors,1.5,away,4.1,1.6792,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,69.068,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-1.25|home,spreads,Newells,-1.25,home,8.79,7.4282,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.248,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|1.25|away,spreads,Boca Juniors,1.25,away,3.7,1.6435,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,66.431,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-1.00|home,spreads,Newells,-1.0,home,9.4,7.824,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,6.311,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|1.00|away,spreads,Boca Juniors,1.0,away,3.3,1.5004,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,62.29,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-0.50|home,spreads,Newells,-0.5,home,3.76,3.5192,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,3.707,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|0.50|away,spreads,Boca Juniors,0.5,away,2.15,1.6287,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,29.246,
soccer|boca juniors|newells|2026-06-10,spreads|newells|0.00|home,spreads,Newells,0.0,home,2.53,2.4383,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,3.027,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-0.00|away,spreads,Boca Juniors,-0.0,away,1.58,1.5775,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.201,
soccer|boca juniors|newells|2026-06-10,spreads|newells|0.50|home,spreads,Newells,0.5,home,1.68,1.6775,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.178,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-0.50|away,spreads,Boca Juniors,-0.5,away,2.35,1.7032,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,32.919,
soccer|boca juniors|newells|2026-06-10,spreads|newells|1.00|home,spreads,Newells,1.0,home,1.68,1.4087,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,18.601,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-1.00|away,spreads,Boca Juniors,-1.0,away,5.2,2.2966,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,69.265,
soccer|boca juniors|newells|2026-06-10,spreads|newells|1.25|home,spreads,Newells,1.25,home,1.26,1.2445,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.936,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-1.25|away,spreads,Boca Juniors,-1.25,away,4.69,1.8221,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,68.364,
soccer|boca juniors|newells|2026-06-10,spreads|newells|1.50|home,spreads,Newells,1.5,home,1.225,1.2069,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,2.401,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-1.50|away,spreads,Boca Juniors,-1.5,away,5.26,1.8414,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,71.898,
soccer|boca juniors|newells|2026-06-10,spreads|newells|1.75|home,spreads,Newells,1.75,home,1.15,1.1397,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.539,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-1.75|away,spreads,Boca Juniors,-1.75,away,7.32,6.2971,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.521,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-0.25|home,spreads,Newells,-0.25,home,3.14,2.9356,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.517,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|0.25|away,spreads,Boca Juniors,0.25,away,1.425,1.4173,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.747,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-0.75|home,spreads,Newells,-0.75,home,5.13,4.5052,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,5.507,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|0.75|away,spreads,Boca Juniors,0.75,away,2.5,1.6113,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,43.333,
soccer|boca juniors|newells|2026-06-10,spreads|newells|0.75|home,spreads,Newells,0.75,home,1.5,1.4898,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.901,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-0.75|away,spreads,Boca Juniors,-0.75,away,2.88,1.7365,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,46.579,
soccer|boca juniors|newells|2026-06-10,doubleChance|1x||,doubleChance,1X,,,1.68,1.6655,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.082,
soccer|boca juniors|newells|2026-06-10,doubleChance|12||,doubleChance,12,,,1.48,1.3601,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,12.432,
soccer|boca juniors|newells|2026-06-10,doubleChance|x2||,doubleChance,X2,,,1.32,1.2597,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,7.576,
soccer|boca juniors|newells|2026-06-10,totals|over|1.50|,totals,Over,1.5,,1.5,1.397,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,10.256,
soccer|boca juniors|newells|2026-06-10,totals|under|1.50|,totals,Under,1.5,,2.95,2.8808,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.563,
soccer|boca juniors|newells|2026-06-10,totals|over|3.50|,totals,Over,3.5,,5.0,4.1817,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,8.169,
soccer|boca juniors|newells|2026-06-10,totals|under|3.50|,totals,Under,3.5,,1.23,1.2248,"[""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.666,
soccer|boca juniors|newells|2026-06-10,spreads|newells|-1.75|home,spreads,Newells,-1.75,home,13.02,13.02,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|1.75|away,spreads,Boca Juniors,1.75,away,1.04,1.04,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|newells|2.75|home,spreads,Newells,2.75,home,1.02,1.02,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-2.75|away,spreads,Boca Juniors,-2.75,away,13.38,13.38,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|newells|2.50|home,spreads,Newells,2.5,home,1.05,1.05,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-2.50|away,spreads,Boca Juniors,-2.5,away,13.38,13.38,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|newells|2.25|home,spreads,Newells,2.25,home,1.05,1.05,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
soccer|boca juniors|newells|2026-06-10,spreads|boca juniors|-2.25|away,spreads,Boca Juniors,-2.25,away,12.78,12.78,"[""Betfair Exchange""]","[""odds_api_io""]",1,,
