match_key,sport,league,home,away,commence_time_utc,forecast_status,forecast_family,forecast_selection,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_probability_gap_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_value_tier,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_market_signal_derived,forecast_shadow_tracked,forecast_guard_reason,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|cs vulturii farcasesti|csm cetatea turnu magurele|2026-04-24,soccer,Romania - Liga 3,CS Vulturii Farcasesti,CSM Cetatea Turnu Magurele,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs lps hd clinceni|scm ramnicu valcea|2026-04-24,soccer,Romania - Liga 3,Scm Ramnicu Valcea,ACS LPS HD Clinceni,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs viitorul arad|scm zalau|2026-04-24,soccer,Romania - Liga 3,Scm Zalau,ACS Viitorul Arad,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|csm unirea alba iulia|sanatatea cluj|2026-04-24,soccer,Romania - Liga 3,Sanatatea Cluj,CSM Unirea Alba Iulia,2026-04-24T14:00:00+00:00,,totals,Меньше,3.0,,Bet365,odds_api_io,72.57,53.07,48.03,5.04,,,58.62,D,,,xg_total,False,False,,26.48,1.33,1.31,,sstats_form,,low_sample,,,,{},,
soccer|neftchi fargona|xorazm urganch|2026-04-24,soccer,Uzbekistan - Superliga,Xorazm Fk Urganch,FK Neftchi Fargona,2026-04-24T14:00:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,71.78,50.32,44.74,5.58,,,61.62,D,,,xg_total,False,False,,29.32,2.02,1.70,,sstats_form,,low_sample,,,,{},,
soccer|kokand 1912|qizilqum zarafshon|2026-04-24,soccer,Uzbekistan - Superliga,Qizilqum Zarafshon,FK Kokand 1912,2026-04-24T14:00:00+00:00,,dnb,FK Kokand 1912 (0),,,Bet365,odds_api_io,65.47,51.99,48.53,3.46,,,57.86,D,,,h2h_ensemble,False,False,,18.96,0.79,1.50,,sstats_form,,low_sample,,,,{},,
soccer|el gouna|pharco|2026-04-24,soccer,Egypt - Premier League,Pharco FC,El Gouna FC,2026-04-24T14:00:00+00:00,,totals,Меньше,1.75,,Bet365,odds_api_io,61.09,50.17,47.37,2.80,,,57.89,D,,,xg_total,False,False,,21.92,0.87,0.88,,sstats_form,,low_sample,,,,{},,
soccer|national bank of egypt|zed|2026-04-24,soccer,Egypt - Premier League,National Bank of Egypt SC,Zed FC,2026-04-24T14:00:00+00:00,,totals,Больше,2.5,,Unibet,odds_api_io,50.76,40.23,37.28,2.95,,,66.25,D,,,xg_total,False,False,,31.95,1.09,1.62,,sstats_form,,flat,,,,{},,
soccer|olimp comrat|sheriff tiraspol 2|2026-04-24,soccer,Moldova - Liga 1,FC Sheriff Tiraspol 2,FC Olimp Comrat,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|falesti|oguz|2026-04-24,soccer,Moldova - Liga 1,FC Oguz,FC Falesti,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|fcm ungheni|zimbru chisinau 2|2026-04-24,soccer,Moldova - Liga 1,Fcm Ungheni,FC Zimbru Chisinau 2,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|univer comrat|victoria chisinau|2026-04-24,soccer,Moldova - Liga 1,FC Victoria Chisinau,Univer Comrat,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|rostov|spartak moscow|2026-04-24,soccer,Russia - Youth League,FK Spartak Moscow,FK Rostov,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|ofk haskovo|pfc neftochimic 1962 burgas|2026-04-24,soccer,Bulgaria - Treta Liga,PFC Neftochimic 1962 Burgas,OFK Haskovo,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|jayxun|pfc terdu|2026-04-24,soccer,Uzbekistan - Pro Liga,FC Jayxun,PFC Terdu,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|al muharraq|al riffa|2026-04-24,soccer,Bahrain - King of Bahrain Cup,Al-Muharraq SC,Al Riffa,2026-04-24T14:20:00+00:00,,totals,Больше,2.5,,Unibet,odds_api_io,54.57,46.37,44.07,2.30,,,65.95,D,,,xg_total,False,False,,22.94,1.81,1.06,,sstats_form,,flat,,,,{},,
soccer|afk csikszereda miercurea ciuc|hermannstadt|2026-04-24,soccer,Romania - Superliga,AFC Hermannstadt,AFK Csikszereda Miercurea Ciuc,2026-04-24T14:30:00+00:00,,dnb,AFK Csikszereda Miercurea Ciuc (0),,,Unibet,odds_api_io,52.86,39.20,35.35,3.85,,,66.65,D,,,h2h_ensemble,False,False,,27.97,0.99,1.12,,sstats_form,,flat,,,,{},,
soccer|ostrovets|smorgon|2026-04-24,soccer,Belarus - Pervaya Liga,FC Ostrovets,FC Smorgon,2026-04-24T14:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|pfc rodopa smolyan|zagorets nova zagora|2026-04-24,soccer,Bulgaria - Treta Liga,Zagorets Nova Zagora,PFC Rodopa Smolyan,2026-04-24T14:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|brodarac|radnicki beograd|2026-04-24,soccer,Serbia - Srpska Liga,FK Brodarac,FK Radnicki Beograd,2026-04-24T14:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|sokol kolbuszowa dolna|star starachowice|2026-04-24,soccer,"Poland - III Liga, Group 4",Sokol Kolbuszowa Dolna,Star Starachowice,2026-04-24T15:00:00+00:00,,spreads,Sokol Kolbuszowa Dolna,0.5,,Bet365,odds_api_io,50.90,50.16,50.00,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.63,,,,market_signal,,low_sample,,,,{},,
soccer|nk jarun zagreb|nk opatija|2026-04-24,soccer,Croatia - Prva NL,NK Opatija,NK Jarun Zagreb,2026-04-24T15:00:00+00:00,,totals,Меньше,2.25,,Bet365,odds_api_io,75.91,52.24,46.05,6.19,,,61.91,D,,,xg_total,False,False,,30.86,1.13,0.57,,sstats_form,,low_sample,,,,{},,
soccer|if gnistan|turun palloseura|2026-04-24,soccer,Finland - Veikkausliiga,Turun Palloseura,IF Gnistan,2026-04-24T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|tampereen ilves|vaasan palloseura|2026-04-24,soccer,Finland - Veikkausliiga,Vaasan Palloseura,Tampereen Ilves,2026-04-24T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|jk tabasalu|tallinna jk legion|2026-04-24,soccer,Estonia - Esiliiga B,Tallinna JK Legion,JK Tabasalu,2026-04-24T15:00:00+00:00,,totals,Меньше,2.5,,Unibet,odds_api_io,56.87,38.90,33.69,5.21,,,69.31,D,,,xg_total,False,False,,49.59,0.81,1.60,,sstats_form,,steam,,,,{},,
soccer|nk kustosija zagreb|nk lucko|2026-04-24,soccer,Croatia - Druga NL,NK Kustosija Zagreb,NK Lucko,2026-04-24T15:00:00+00:00,,totals,Меньше,2.75,,Bet365,odds_api_io,89.22,56.63,48.03,8.60,,,62.92,D,,,xg_total,False,False,,39.79,0.92,0.47,,sstats_form,,low_sample,,,,{},,
soccer|nk grobnican|nk uskok|2026-04-24,soccer,Croatia - Druga NL,NK Grobnican,NK Uskok,2026-04-24T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|nk hrvatski dragovoljac|nk varteks|2026-04-24,soccer,Croatia - Druga NL,NK Varteks,NK Hrvatski Dragovoljac,2026-04-24T15:00:00+00:00,,spreads,NK Varteks,-0.25,,Bet365,odds_api_io,53.53,52.79,52.63,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.61,,,,market_signal,,low_sample,,,,{},,
soccer|babrungas plunge|garliava|2026-04-24,soccer,Lithuania - 1 Lyga,FK Babrungas Plunge,FK Garliava,2026-04-24T15:00:00+00:00,,totals,Меньше,3.0,,Bet365,odds_api_io,63.76,51.24,48.03,3.21,,,58.09,D,,,xg_total,False,False,,20.34,1.27,1.77,,sstats_form,,low_sample,,,,{},,
soccer|hegelmann litauen b|kauno zalgiris b|2026-04-24,soccer,Lithuania - 1 Lyga,Hegelmann Litauen B,FK Kauno Zalgiris B,2026-04-24T15:00:00+00:00,,totals,Меньше,2.5,,Bet365,odds_api_io,45.16,42.72,40.96,1.76,,,64.32,D,,,market_simple_totals,True,False,,22.92,,,,market_signal,,flat,,,,{},,
soccer|ips|mikkelin palloilijat 2|2026-04-24,soccer,Finland - Kolmonen,Ips,Mikkelin Palloilijat 2,2026-04-24T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|neman grodno|slavia mozyr|2026-04-24,soccer,Belarus - Vysshaya Liga,FC Slavia Mozyr,FC Neman Grodno,2026-04-24T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|cwks resovia|lks lodz 2|2026-04-24,soccer,Poland - II Liga,CWKS Resovia,LKS Lodz II,2026-04-24T15:00:00+00:00,,totals,Больше,3.5,,Unibet,odds_api_io,33.99,33.25,33.09,0.16,,,53.09,D,,,market_simple_totals,True,False,,4.15,,,,market_signal,,low_sample,,,,{},,
soccer|avia swidnik|wislanie skawina|2026-04-24,soccer,"Poland - III Liga, Group 4",Wislanie Skawina,Avia Swidnik,2026-04-24T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|kedainiai nevezis|silute|2026-04-24,soccer,Lithuania - II Lyga,Kedainiai Nevezis,FK Silute,2026-04-24T15:00:00+00:00,,spreads,FK Silute,1.25,,Bet365,odds_api_io,50.90,50.16,50.00,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.63,,,,market_signal,,low_sample,,,,{},,
soccer|dubai united|gulf united|2026-04-24,soccer,United Arab Emirates - First Division,Dubai United FC,Gulf United,2026-04-24T15:10:00+00:00,,totals,Меньше,2.5,,Bet365,odds_api_io,65.58,40.56,33.41,7.15,,,67.82,D,,,xg_total,False,False,,40.22,1.28,0.80,,sstats_form,,flat,,,,{},,
soccer|andijon|bunyodkor|2026-04-24,soccer,Uzbekistan - Superliga,FC Bunyodkor,FC Andijon,2026-04-24T15:15:00+00:00,,spreads,FC Andijon,-0.25,,Bet365,odds_api_io,52.64,50.72,50.32,0.40,,,53.23,D,,,market_simple_spreads,True,False,,13.81,,,,market_signal,,low_sample,,,,{},,
soccer|lps laajasalon|ppj lauttasaari|2026-04-24,soccer,Finland - Kolmonen,LPS Laajasalon,Ppj/Lauttasaari,2026-04-24T15:15:00+00:00,,totals,Меньше,3.75,,Bet365,odds_api_io,79.20,57.08,51.32,5.76,,,61.71,D,,,xg_total,False,False,,28.66,1.33,1.35,,sstats_form,,low_sample,,,,{},,
soccer|leki|ylojarvi united|2026-04-24,soccer,Finland - Kolmonen,FC LeKi,Ylojarvi United FC,2026-04-24T15:30:00+00:00,,spreads,FC LeKi,0.75,,Bet365,odds_api_io,52.18,51.44,51.28,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.62,,,,market_signal,,low_sample,,,,{},,
soccer|kopa|peka|2026-04-24,soccer,Finland - Kolmonen,Peka,Kopa,2026-04-24T15:30:00+00:00,,spreads,Kopa,1.75,,Bet365,odds_api_io,51.53,50.79,50.63,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.63,,,,market_signal,,low_sample,,,,{},,
